,pokedex_number,name,generation,status,type_1,type_2,height_m,weight_pounds,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,percentage_male,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
107,80,Galarian Slowbro,8,Normal,POISON,Psychic,1.6,155.42570999999998,95,100,95,100,70,30,75.0,50.0%,1.0,1.0,1.0,1.0,0.5,1.0,0.25,0.5,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5
108,81,Magnemite,1,Normal,ELECTRIC,Steel,0.3,13.227719999999998,25,35,70,95,55,45,190.0,0.0%,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
109,82,Magneton,1,Normal,ELECTRIC,Steel,1.0,132.2772,50,60,95,120,70,70,60.0,0.0%,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
110,83,Farfetch'd,1,Normal,NORMAL,Flying,0.8,33.0693,52,90,55,58,62,60,45.0,50.0%,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
111,83,Galarian Farfetch'd,1,Normal,FIGHTING,,0.8,92.59404,52,95,55,58,62,55,,0.0%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
112,84,Doduo,1,Normal,NORMAL,Flying,1.4,86.421104,35,85,45,35,35,75,190.0,50.0%,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
113,85,Dodrio,1,Normal,NORMAL,Flying,1.8,187.833624,60,110,70,60,60,110,45.0,50.0%,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
114,86,Seel,1,Normal,WATER,,1.1,198.4158,65,45,55,45,70,45,190.0,50.0%,1.0,0.25,0.5,2.0,2.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
115,87,Dewgong,1,Normal,WATER,Ice,1.7,264.5544,90,70,80,70,95,70,75.0,50.0%,1.0,0.5,0.5,2.0,2.0,125.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
116,88,Grimer,1,Normal,POISON,,0.9,66.1386,80,80,50,40,50,25,190.0,50.0%,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
117,88,Alolan Grimer,1,Normal,POISON,Dark,0.7,92.59404,80,80,50,40,50,25,190.0,50.0%,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
118,89,Muk,1,Normal,POISON,,1.2,66.1386,105,105,75,65,100,50,75.0,50.0%,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
119,89,Alolan Muk,1,Normal,POISON,Dark,1.0,114.64024,105,105,75,65,100,50,75.0,50.0%,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
120,90,Shellder,1,Normal,WATER,,0.3,8.81848,30,65,100,45,25,40,190.0,50.0%,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
121,91,Cloyster,1,Normal,WATER,Ice,1.5,292.11215,50,95,180,85,45,70,60.0,50.0%,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
122,92,Gastly,1,Normal,GHOST,Poison,1.3,0.220462,30,35,30,100,35,80,190.0,50.0%,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,0.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
123,93,Haunter,1,Normal,GHOST,Poison,1.6,0.220462,45,50,45,115,55,95,90.0,50.0%,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,0.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
124,94,Gengar,1,Normal,GHOST,Poison,1.5,89.28711,60,65,60,130,75,110,45.0,50.0%,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
125,94,GengarMega Gengar,1,Normal,GHOST,Poison,1.4,89.28711,60,65,80,170,95,130,45.0,50.0%,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
126,95,Onix,1,Normal,ROCK,Ground,8.8,462.9702,35,45,160,30,45,70,45.0,50.0%,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
127,96,Drowzee,1,Normal,PSYCHIC,,1.0,71.42968799999998,60,48,45,43,90,42,190.0,50.0%,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
128,97,Hypno,1,Normal,PSYCHIC,,1.6,166.66927199999998,85,73,70,73,115,67,75.0,50.0%,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
129,98,Krabby,1,Normal,WATER,,0.4,14.33003,30,105,90,25,25,50,225.0,50.0%,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
130,99,Kingler,1,Normal,WATER,,1.3,132.2772,55,130,115,50,50,75,60.0,50.0%,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
131,100,Voltorb,1,Normal,ELECTRIC,,0.5,22.928048,40,30,50,55,55,100,190.0,0.0%,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
132,101,Electrode,1,Normal,ELECTRIC,,1.2,146.82769199999998,60,50,70,80,80,150,60.0,0.0%,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
133,102,Exeggcute,1,Normal,GRASS,Psychic,0.4,5.51155,60,40,80,60,45,40,90.0,50.0%,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0
134,103,Exeggutor,1,Normal,GRASS,Psychic,2.0,264.5544,95,95,85,125,75,55,45.0,50.0%,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0
135,103,Alolan Exeggutor,1,Normal,GRASS,Dragon,10.9,916.240072,95,105,85,125,75,45,45.0,50.0%,1.0,1.0,0.25,0.25,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
136,104,Cubone,1,Normal,GROUND,,0.4,14.33003,50,50,95,40,50,35,190.0,50.0%,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
137,105,Marowak,1,Normal,GROUND,,1.0,99.2079,60,80,110,50,80,45,75.0,50.0%,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
138,105,Alolan Marowak,1,Normal,FIRE,Ghost,1.0,74.95707999999999,60,80,110,50,80,45,75.0,50.0%,0.0,0.5,2.0,1.0,0.5,0.5,0.0,0.5,2.0,1.0,1.0,0.25,2.0,2.0,1.0,2.0,0.5,0.5
139,106,Hitmonlee,1,Normal,FIGHTING,,1.5,109.79007599999998,50,120,53,35,110,87,45.0,100.0%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
140,107,Hitmonchan,1,Normal,FIGHTING,,1.4,110.671924,50,105,79,35,110,76,45.0,100.0%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
141,108,Lickitung,1,Normal,NORMAL,,1.2,144.40260999999998,90,55,75,60,75,30,45.0,50.0%,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
142,109,Koffing,1,Normal,POISON,,0.6,2.20462,40,65,95,60,45,35,190.0,50.0%,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
143,110,Weezing,1,Normal,POISON,,1.2,20.94389,65,90,120,85,70,60,60.0,50.0%,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
144,110,Galarian Weezing,1,Normal,POISON,Fairy,3.0,35.27392,65,90,120,85,70,60,,0.0%,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
145,111,Rhyhorn,1,Normal,GROUND,Rock,1.0,253.5313,80,85,95,30,30,25,120.0,50.0%,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
146,112,Rhydon,1,Normal,GROUND,Rock,1.9,264.5544,105,130,120,45,45,40,60.0,50.0%,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
147,113,Chansey,1,Normal,NORMAL,,1.1,76.27985199999999,250,5,5,35,105,50,30.0,0.0%,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
148,114,Tangela,1,Normal,GRASS,,1.0,77.1617,65,55,115,100,40,60,45.0,50.0%,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
149,115,Kangaskhan,1,Normal,NORMAL,,2.2,176.3696,105,95,80,40,80,90,45.0,0.0%,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
150,115,KangaskhanMega Kangaskhan,1,Normal,NORMAL,,2.2,220.462,105,125,100,60,100,100,45.0,0.0%,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
151,116,Horsea,1,Normal,WATER,,0.4,17.63696,30,40,70,70,25,60,225.0,50.0%,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
152,117,Seadra,1,Normal,WATER,,1.2,55.1155,55,65,95,95,45,85,75.0,50.0%,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
153,118,Goldeen,1,Normal,WATER,,0.6,33.0693,45,67,60,35,50,63,225.0,50.0%,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
154,119,Seaking,1,Normal,WATER,,1.3,85.98017999999999,80,92,65,65,80,68,60.0,50.0%,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
155,120,Staryu,1,Normal,WATER,,0.8,76.05939,30,45,55,70,55,85,225.0,0.0%,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
156,121,Starmie,1,Normal,WATER,Psychic,1.1,176.3696,60,75,85,100,85,115,60.0,0.0%,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
157,122,Mr. Mime,1,Normal,PSYCHIC,Fairy,1.3,120.15179,40,45,65,100,120,90,45.0,50.0%,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
158,122,Galarian Mr. Mime,1,Normal,PSYCHIC,Ice,1.4,125.22241599999998,50,65,65,90,90,100,,0.0%,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.5,1.0,1.0,0.5,1.0,1.0,1.5,0.0,1.0,1.5,1.0
159,123,Scyther,1,Normal,BUG,Flying,1.5,123.45872,70,110,80,55,80,105,45.0,50.0%,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
160,124,Jynx,1,Normal,ICE,Psychic,1.4,89.507572,65,50,35,115,95,95,45.0,0.0%,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0
161,125,Electabuzz,1,Normal,ELECTRIC,,1.1,66.1386,65,83,57,95,85,105,45.0,75.0%,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
162,126,Magmar,1,Normal,FIRE,,1.3,98.10559,65,95,57,100,85,93,45.0,75.0%,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
163,127,Pinsir,1,Normal,BUG,,1.5,121.2541,65,125,100,55,70,85,45.0,50.0%,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
164,127,PinsirMega Pinsir,1,Normal,BUG,Flying,1.7,130.07258,65,155,120,65,90,105,45.0,50.0%,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
165,128,Tauros,1,Normal,NORMAL,,1.4,194.888408,75,100,95,40,70,110,45.0,100.0%,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
166,129,Magikarp,1,Normal,WATER,,0.9,22.0462,20,10,55,15,20,80,255.0,50.0%,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
167,130,Gyarados,1,Normal,WATER,Flying,6.5,518.0857,95,125,79,60,100,81,45.0,50.0%,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
168,130,GyaradosMega Gyarados,1,Normal,WATER,Dark,6.5,672.4091,95,155,109,70,130,81,45.0,50.0%,1.0,0.5,0.5,2.0,2.0,0.5,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,0.5,2.0
169,131,Lapras,1,Normal,WATER,Ice,2.5,485.0164,130,85,80,85,95,60,45.0,50.0%,1.0,1.0,0.0,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
170,132,Ditto,1,Normal,NORMAL,,0.3,8.81848,48,48,48,48,48,48,35.0,0.0%,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
171,133,Eevee,1,Normal,NORMAL,,0.3,14.33003,55,55,50,45,65,55,45.0,87.5%,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
172,133,Partner Eevee,1,Normal,NORMAL,,0.3,14.33003,65,75,70,65,85,75,45.0,87.5%,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
173,134,Vaporeon,1,Normal,WATER,,1.0,63.93397999999999,130,65,60,110,95,65,45.0,87.5%,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
174,135,Jolteon,1,Normal,ELECTRIC,,0.8,54.01319,65,65,60,110,95,130,45.0,87.5%,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
175,136,Flareon,1,Normal,FIRE,,0.9,55.1155,65,130,60,95,110,65,45.0,87.5%,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
176,137,Porygon,1,Normal,NORMAL,,0.8,80.46862999999999,65,60,70,85,75,40,45.0,0.0%,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
177,138,Omanyte,1,Normal,ROCK,Water,0.4,16.53465,35,40,100,90,55,35,45.0,87.5%,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
178,139,Omastar,1,Normal,ROCK,Water,1.0,77.1617,70,60,125,115,70,55,45.0,87.5%,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
179,140,Kabuto,1,Normal,ROCK,Water,0.5,25.35313,30,80,90,55,45,55,45.0,87.5%,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
180,141,Kabutops,1,Normal,ROCK,Water,1.3,89.28711,60,115,105,65,70,80,45.0,87.5%,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
181,142,Aerodactyl,1,Normal,ROCK,Flying,1.8,130.07258,80,105,65,60,75,130,45.0,87.5%,0.5,0.5,2.0,2.0,1.0,2.0,1.0,0.5,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0
182,142,AerodactylMega Aerodactyl,1,Normal,ROCK,Flying,2.1,174.16498,80,135,85,70,95,150,45.0,87.5%,0.5,0.5,2.0,2.0,1.0,2.0,1.0,0.5,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0
183,143,Snorlax,1,Normal,NORMAL,,2.1,1014.1252,160,110,65,65,110,30,25.0,87.5%,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
184,144,Articuno,1,Sub Legendary,ICE,Flying,1.7,122.13594799999998,90,85,100,95,125,85,3.0,0.0%,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0
185,144,Galarian Articuno,8,Sub Legendary,PSYCHIC,Flying,1.7,112.215158,90,85,85,125,100,95,3.0,0.0%,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0
186,145,Zapdos,1,Sub Legendary,ELECTRIC,Flying,1.6,115.963012,90,90,85,125,90,100,3.0,0.0%,1.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
187,145,Galarian Zapdos,8,Sub Legendary,FIGHTING,Flying,1.6,128.308884,90,125,90,85,90,100,3.0,0.0%,1.0,1.0,1.0,2.0,0.5,2.0,0.5,1.0,0.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,1.0,2.0
188,146,Moltres,1,Sub Legendary,FIRE,Flying,2.0,132.2772,90,100,90,125,85,90,3.0,0.0%,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
189,146,Galarian Moltres,8,Sub Legendary,DARK,Flying,2.0,145.50492,90,85,90,100,125,90,3.0,0.0%,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0
190,147,Dratini,1,Normal,DRAGON,,1.8,7.275245999999999,41,64,45,50,50,50,45.0,50.0%,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
191,148,Dragonair,1,Normal,DRAGON,,4.0,36.37623,61,84,65,70,70,70,45.0,50.0%,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
192,149,Dragonite,1,Normal,DRAGON,Flying,2.2,462.9702,91,134,95,100,100,80,45.0,50.0%,1.0,0.5,0.5,1.0,0.25,4.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0
193,150,Mewtwo,1,Legendary,PSYCHIC,,2.0,268.96364,106,110,90,154,90,130,3.0,0.0%,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
194,150,Mewtwo XMega Mewtwo X,1,Legendary,PSYCHIC,Fighting,2.3,279.98674,106,190,100,154,100,130,3.0,0.0%,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0
195,150,Mewtwo YMega Mewtwo Y,1,Legendary,PSYCHIC,,1.5,72.75246,106,150,70,194,120,140,3.0,0.0%,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
196,151,Mew,1,Mythical,PSYCHIC,,0.4,8.81848,100,100,100,100,100,100,45.0,0.0%,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
197,152,Chikorita,2,Normal,GRASS,,0.9,14.109568,45,49,65,49,65,45,45.0,87.5%,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
198,153,Bayleef,2,Normal,GRASS,,1.2,34.832996,60,62,80,63,80,60,45.0,87.5%,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
199,154,Meganium,2,Normal,GRASS,,1.8,221.56431,80,82,100,83,100,80,45.0,87.5%,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
200,155,Cyndaquil,2,Normal,FIRE,,0.5,17.416498,39,52,43,60,50,65,45.0,87.5%,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
201,156,Quilava,2,Normal,FIRE,,0.9,41.88778,58,64,58,80,65,80,45.0,87.5%,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
202,157,Typhlosion,2,Normal,FIRE,,1.7,175.26728999999995,78,84,78,109,85,100,45.0,87.5%,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
203,158,Totodile,2,Normal,WATER,,0.6,20.94389,50,65,64,44,48,43,45.0,87.5%,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
204,159,Croconaw,2,Normal,WATER,,1.1,55.1155,65,80,80,59,63,58,45.0,87.5%,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
205,160,Feraligatr,2,Normal,WATER,,2.3,195.770256,85,105,100,79,83,78,45.0,87.5%,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
206,161,Sentret,2,Normal,NORMAL,,0.8,13.227719999999998,35,46,34,35,45,20,255.0,50.0%,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
207,162,Furret,2,Normal,NORMAL,,1.8,71.65015,85,76,64,45,55,90,90.0,50.0%,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
208,163,Hoothoot,2,Normal,NORMAL,Flying,0.7,46.73794399999999,60,30,30,36,56,50,255.0,50.0%,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
209,164,Noctowl,2,Normal,NORMAL,Flying,1.6,89.94849599999999,100,50,50,86,96,70,90.0,50.0%,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
210,165,Ledyba,2,Normal,BUG,Flying,1.0,23.809896,40,20,30,40,80,55,255.0,50.0%,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
211,166,Ledian,2,Normal,BUG,Flying,1.4,78.484472,55,35,50,55,110,85,90.0,50.0%,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
212,167,Spinarak,2,Normal,BUG,Poison,0.5,18.73927,40,60,40,40,40,30,255.0,50.0%,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
213,168,Ariados,2,Normal,BUG,Poison,1.1,73.85476999999999,70,90,70,60,70,40,90.0,50.0%,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
214,169,Crobat,2,Normal,POISON,Flying,1.8,165.3465,85,90,80,70,80,130,90.0,50.0%,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
